Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Sergio Romero,ar ARG,GK,Venezia,it Serie A,35,1987,16,16,1440,16.0,33,2.06,99,74,72.7,3,4,9,3,18.8,6,6,0,0,0.0,0,1,2,31.6,0.28,+0.6,+0.04,119,266,44.7,449,101,44.5,38.1,141,46.8,39.3,159,11,6.9,8,0.50,12.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,0,1,1,0,0,0,0,0,1,83,0,0,
Francesco Rossi,it ITA,GK,Atalanta,it Serie A,30,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,,0,0,0,1.2,0.59,+0.2,+0.46,2,7,28.6,12,0,41.7,42.0,4,50.0,54.0,3,0,0.0,0,0.00,14.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0,0,
Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,29,1992,28,28,2520,28.0,24,0.86,84,61,75.0,12,8,8,13,46.4,4,3,1,0,25.0,0,2,1,23.7,0.26,+0.7,+0.03,138,314,43.9,948,143,24.9,32.5,184,42.4,39.6,262,26,9.9,27,0.96,15.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,5,0,0,0,0,0,0,133,0,0,
Mathew Ryan,au AUS,GK,Real Sociedad,es La Liga,30,1992,3,3,270,3.0,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0.0,0,3,0,5.0,0.28,0.0,+0.01,20,58,34.5,88,14,51.1,42.2,19,68.4,49.3,36,4,11.1,1,0.33,14.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,16,0,0,
Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,29,1992,6,6,540,6.0,4,0.67,16,13,75.0,5,1,0,2,33.3,0,0,0,0,,0,0,1,3.1,0.21,+1.1,+0.23,37,106,34.9,156,20,53.8,42.3,34,64.7,50.5,40,7,17.5,2,0.40,17.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,21,0,0,
José Sá,pt POR,GK,Wolves,eng Premier League,29,1993,32,32,2880,32.0,28,0.87,125,105,83.2,15,4,13,11,34.4,7,7,0,0,0.0,1,1,1,37.5,0.25,+10.5,+0.33,138,420,32.9,712,169,42.8,39.6,226,50.9,42.7,290,31,10.7,36,1.13,15.7,0,1,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,0,3,11,0,0,0,0,0,3,189,0,0,
Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,37,1984,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.0,0.32,-1.0,-1.04,6,9,66.7,29,8,31.0,35.3,3,0.0,13.3,6,1,16.7,1,1.00,14.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,8,0,0,
Robert Sánchez,es ESP,GK,Brighton,eng Premier League,24,1997,32,32,2879,32.0,38,1.19,123,87,71.5,9,13,10,9,28.1,4,3,0,1,0.0,0,5,0,39.4,0.30,+1.4,+0.04,166,532,31.2,1140,140,35.1,37.0,193,68.4,53.6,254,31,12.2,30,0.94,14.4,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,0,0,3,0,0,0,0,0,0,138,0,0,
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,35,1986,32,32,2880,32.0,51,1.59,152,108,70.4,11,9,12,6,18.8,9,6,2,1,25.0,1,13,1,49.5,0.30,-0.5,-0.02,229,531,43.1,832,121,47.7,39.6,257,52.1,44.1,246,17,6.9,15,0.48,12.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,135,0,1,0.0
Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,18,18,1620,18.0,24,1.33,80,56,70.0,9,4,5,3,16.7,0,0,0,0,,2,1,0,21.5,0.29,-1.5,-0.09,121,241,50.2,679,65,29.2,32.0,115,37.4,36.3,122,8,6.6,7,0.41,13.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,68,0,0,
