Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Gauthier Gallon,fr FRA,GK,Troyes,Ligue 1,28,1993,30,30,2700,30,42,1.4,119,86,71.4,8,8,14,8,26.7,8,8,0,0,0,Matches,0,7,2,38.6,0.26,-1.4,-0.05,212,501,42.3,778,151,46,38.8,242,59.1,43.5,276,18,6.5,13,0.43,12.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,153,0,0,
Joan García,es ESP,GK,Espanyol,La Liga,20,2001,2,1,108,1.2,3,2.5,3,0,0,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.2,0.39,-1.8,-1.53,4,12,33.3,31,9,32.3,31.4,2,100,71.5,11,2,18.2,2,1.67,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
David de Gea,es ESP,GK,Manchester Utd,Premier League,31,1990,33,33,2970,33,48,1.45,153,108,69.9,15,9,9,7,21.2,5,2,3,0,60,Matches,0,6,3,53.4,0.33,8.4,0.25,123,334,36.8,534,110,37.6,35.4,261,51,42.3,250,8,3.2,8,0.24,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,0,0,
Luca Gemello,it ITA,GK,Torino,Serie A,21,2000,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches,0,0,0,0.8,0.2,0.8,0.8,9,28,32.1,31,1,80.6,51.8,3,100,60.7,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Rafał Gikiewicz,pl POL,GK,Augsburg,Bundesliga,34,1987,30,30,2700,30,47,1.57,132,87,66.7,8,8,14,8,26.7,3,3,0,0,0,Matches,1,3,2,42.9,0.31,-2.1,-0.07,232,594,39.1,855,122,48.9,40.5,256,68.8,51.5,269,19,7.1,32,1.07,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,167,0,0,
Alfred Gomis,sn SEN,GK,Rennes,Ligue 1,28,1993,22,22,1980,22,21,0.95,55,37,69.1,13,4,5,9,40.9,4,4,0,0,0,Matches,0,3,1,21,0.34,1,0.05,130,285,45.6,555,101,35,33.9,134,67.9,51,210,11,5.2,14,0.64,14.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,132,0,0,
Jens Grahl,de GER,GK,Eint Frankfurt,Bundesliga,33,1988,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.1,0.27,-0.9,-0.91,2,6,33.3,19,5,10.5,26.1,11,36.4,40.5,9,1,11.1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Ivo Grbić,hr CRO,GK,Lille,Ligue 1,26,1996,21,21,1890,21,28,1.33,88,63,70.5,8,7,6,2,9.5,2,2,0,0,0,Matches,1,6,1,27.2,0.29,0.2,0.01,110,287,38.3,419,85,44.6,38.7,164,61,46.2,203,21,10.3,13,0.62,14.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,74,0,0,
Etienne Green,eng ENG,GK,Saint-Étienne,Ligue 1,21,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0,Matches,1,3,2,20.6,0.29,-4.4,-0.33,75,188,39.9,295,65,41.7,37.9,109,59.6,47.4,112,9,8,8,0.6,14.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0.3,0.3,0,0.02,0.02,0,0.02,0,1,1,0,0,0,0,0,1,63,0,0,
Dominik Greif,sk SVK,GK,Mallorca,La Liga,25,1997,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches,1,0,0,1.1,0.19,-1.9,-1.87,2,13,15.4,21,6,42.9,37.8,10,40,37.4,8,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Lennart Grill,de GER,GK,Leverkusen,Bundesliga,23,1999,1,1,90,1,2,2,6,5,66.7,1,0,0,0,0,0,0,0,0,,Matches,0,0,1,1.1,0.19,0.1,0.15,4,17,23.5,36,6,30.6,32.1,9,66.7,47.9,8,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Vicente Guaita,es ESP,GK,Crystal Palace,Premier League,35,1987,26,26,2295,25.5,31,1.22,100,72,72,7,10,9,9,34.6,3,3,0,0,0,Matches,1,9,0,27.1,0.25,-3.9,-0.15,138,302,45.7,640,134,34.8,32.9,173,45.7,36.9,194,14,7.2,13,0.51,14.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,125,0,0,
Péter Gulácsi,hu HUN,GK,RB Leipzig,Bundesliga,31,1990,29,29,2610,29,28,0.97,92,68,72.8,16,6,7,9,31,3,3,0,0,0,Matches,0,6,1,29.6,0.3,2.6,0.09,135,339,39.8,857,135,31.5,33,180,38.3,35.5,206,8,3.9,38,1.31,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,148,0,0,
Angus Gunn,eng ENG,GK,Norwich City,Premier League,26,1996,7,7,630,7,18,2.57,42,26,61.9,1,1,5,1,14.3,4,2,1,1,33.3,Matches,0,2,0,18.4,0.39,0.4,0.06,46,112,41.1,162,32,53.1,40.3,62,41.9,38.5,69,6,8.7,6,0.86,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,
Samir Handanović,si SVN,GK,Inter,Serie A,37,1984,32,32,2880,32,25,0.78,107,85,80.4,20,9,3,14,43.8,4,4,0,0,0,Matches,0,3,1,26.8,0.22,2.8,0.09,183,335,54.6,954,138,31,30.5,131,29.8,30.5,219,11,5,2,0.06,11.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,94,0,0,
